  PID  PPID STAT  %CPU %MEM     ELAPSED COMM
    1     0 Ss     0.8  0.0 01-16:49:37 /sbin/launchd
  353     1 Ss     1.5  0.1 01-16:48:46 /usr/libexec/logd
  354     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/smd
  355     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/UserEventAgent
  357     1 Ss     0.0  0.0 01-16:48:46 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  358     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  361     1 Ss     0.0  0.0 01-16:48:46 /usr/sbin/systemstats
  363     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  364     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/uarpassetmanagerd
  365     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/configd
  366     1 Ss     0.0  0.0 01-16:48:46 endpointsecurityd
  367     1 Ss     0.0  0.0 01-16:48:46 /System/Library/CoreServices/powerd.bundle/powerd
  368     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/IOMFB_bics_daemon
  370     1 Ss     0.0  0.2 01-16:48:46 /usr/libexec/amfid
  372     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/remoted
  374     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/keybagd
  375     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  376     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  378     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/watchdogd
  382     1 Ss     0.1  0.1 01-16:48:46 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  383     1 Ss     0.0  0.0 01-16:48:46 /System/Library/CoreServices/iconservicesd
  384     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/kernelmanagerd
  385     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/diskarbitrationd
  388     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/coreduetd
  389     1 Ss     0.0  0.0 01-16:48:46 /usr/sbin/syslogd
  391     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/thermalmonitord
  392     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  393     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/xprotectd
  394     1 Ss     4.2  0.0 01-16:48:46 /usr/libexec/opendirectoryd
  395     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  396     1 Ss     0.2  0.0 01-16:48:46 /System/Library/CoreServices/launchservicesd
  397     1 Ss     0.0  0.0 01-16:48:46 /usr/libexec/timed
  398     1 Ss     0.0  0.0 01-16:48:46 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  399     1 Ss     0.9  0.0 01-16:48:46 /usr/sbin/securityd
  401     1 Ss     0.1  0.0 01-16:48:46 /usr/libexec/locationd
